Brand,OS_Platform,Resolution_Type,Inches,Launch_Year,Price,Review_Count,Rating
Foxsky,Google TV,Ultra HD (4K),43.0,2024,16999,1045,4.3
XIAOMI,Google TV,Ultra HD (4K),55.0,2025,42999,141,4.0
TCL,Android,Full HD,32.0,2024,11990,1907,4.1
Daiwa,Google TV,Ultra HD (4K),43.0,2024,17999,334,4.2
Hisense,Google TV,Ultra HD (4K),65.0,2024,46999,1299,4.3
Hisense,Google TV,Ultra HD (4K),55.0,2024,47999,48,4.2
Foxsky,Google TV,HD Ready,32.0,2024,7499,1045,4.3
Foxsky,Android,HD Ready,32.0,2023,6999,1855,4.1
LG,WebOS,HD Ready,32.0,2023,15990,1827,4.3
Blaupunkt,Linux,HD Ready,24.0,2022,5999,244,4.0
XIAOMI,FireTv OS,HD Ready,32.0,2025,11999,6401,4.3
Hisense,Google TV,Full HD,43.0,2024,19499,483,4.2
OnePlus,Android,HD Ready,32.0,2020,14999,8436,4.3
TCL,Google TV,Ultra HD (4K),65.0,2025,67990,3,4.2
TOSHIBA,Google TV,Ultra HD (4K),43.0,2025,20999,3,4.2
Hisense,Google TV,Ultra HD (4K),43.0,2024,22999,1299,4.3
Samsung,Google TV,Ultra HD (4K),55.0,2025,41990,3724,4.3
XIAOMI,FireTv OS,Ultra HD (4K),55.0,2025,37999,141,4.0
Infinix,Android,Ultra HD (4K),55.0,2022,32999,69,4.3
TCL,Google TV,Ultra HD (4K),55.0,2024,27999,1358,4.2
Foxsky,Google TV,Ultra HD (4K),43.0,2024,16999,1045,4.3
XIAOMI,Google TV,Ultra HD (4K),55.0,2025,42999,141,4.0
SONY,Google TV,Ultra HD (4K),65.0,2024,72490,1003,4.7
Foxsky,Android,Full HD,40.0,2023,11999,1855,4.1
TCL,Google TV,Ultra HD (4K),75.0,2024,56169,1358,4.2
TOSHIBA,Google TV,Ultra HD (4K),43.0,2024,25999,216,4.2
LG,WebOS,Ultra HD (4K),55.0,2025,43990,1690,4.4
LG,WebOS,Ultra HD (4K),50.0,2025,37990,1690,4.4
Coocaa,Google TV,Ultra HD (4K),65.0,2024,43999,59,4.2
REDMI,FireTv OS,Ultra HD (4K),55.0,2024,32999,848,4.2
Foxsky,Google TV,HD Ready,32.0,2024,7499,1045,4.3
Foxsky,Android,HD Ready,32.0,2023,6999,1855,4.1
Samsung,Google TV,Ultra HD (4K),55.0,2025,49990,66,4.4
TOSHIBA,Google TV,Ultra HD (4K),100.0,2024,254999,216,4.2
Hisense,Google TV,Ultra HD (4K),55.0,2024,30999,1299,4.3
XIAOMI,FireTv OS,Ultra HD (4K),55.0,2025,34999,5753,4.3
XIAOMI,FireTv OS,HD Ready,32.0,2025,11999,6401,4.3
Hisense,Google TV,Full HD,43.0,2024,19499,483,4.2
Blaupunkt,Google TV,Ultra HD (4K),50.0,2025,27999,2749,4.5
Acer,Google TV,Ultra HD (4K),55.0,2024,39999,212,4.1
Samsung,Google TV,Ultra HD (4K),55.0,2025,41990,3724,4.3
Foxsky,Google TV,Ultra HD (4K),43.0,2024,16999,1045,4.3
SONY,Google TV,Ultra HD (4K),55.0,2024,54990,1003,4.7
MOTOROLA,Google TV,Ultra HD (4K),65.0,2025,43999,222,4.2
Samsung,Google TV,Ultra HD (4K),43.0,2025,28990,1261,4.3
Acer,Google TV,HD Ready,32.0,2024,12499,654,4.0
XIAOMI,FireTv OS,Ultra HD (4K),55.0,2025,37999,141,4.0
XIAOMI,Google TV,Ultra HD (4K),55.0,2025,42999,141,4.0
KODAK,Android,Full HD,42.0,2023,14499,7747,4.4
Thomson,Linux,Full HD,40.0,2025,12999,303,4.2
LG,WebOS,Ultra HD (4K),55.0,2025,43990,1690,4.4
LG,WebOS,Ultra HD (4K),50.0,2025,37990,1690,4.4
Acer,Google TV,Ultra HD (4K),50.0,2023,28999,189,4.0
Blaupunkt,Google TV,Ultra HD (4K),50.0,2022,26499,2749,4.5
LG,WebOS,Ultra HD (4K),43.0,2022,36490,382,4.5
KODAK,Android,HD Ready,32.0,2023,9999,7747,4.4
Foxsky,Android,HD Ready,32.0,2023,6999,1855,4.1
Foxsky,Google TV,HD Ready,32.0,2024,7499,1045,4.3
Samsung,Google TV,Ultra HD (4K),55.0,2023,42990,1261,4.3
Thomson,Google TV,Ultra HD (4K),50.0,2025,24999,5397,4.4
XIAOMI,FireTv OS,HD Ready,32.0,2025,11999,6401,4.3
Hisense,Google TV,Full HD,43.0,2024,19499,483,4.2
Infinix,Google TV,Full HD,43.0,2024,16999,138,4.0
HUIDI,Android,HD Ready,50.0,2024,6999,276,3.8
XIAOMI,FireTv OS,Ultra HD (4K),55.0,2025,37999,141,4.0
Panasonic,Google TV,Ultra HD (4K),43.0,2023,27990,1214,4.3
Samsung,Google TV,Ultra HD (4K),55.0,2025,41990,3724,4.3
XIAOMI,Google TV,Ultra HD (4K),55.0,2025,42999,141,4.0
MOTOROLA,Google TV,Ultra HD (4K),65.0,2023,39999,732,4.3
LG,WebOS,Ultra HD (4K),65.0,2018,99999,938,4.5
LG,WebOS,Ultra HD (4K),55.0,2025,43990,1690,4.4
XIAOMI,Google TV,HD Ready,32.0,2025,13999,141,4.0
Infinix,Linux,Full HD,40.0,2025,13999,30,3.9
Coocaa,Google TV,Full HD,43.0,2025,18999,3,4.5
LG,WebOS,Ultra HD (4K),65.0,2022,66990,382,4.5
Sansui,Google TV,HD Ready,32.0,2024,10799,2,4.3
Samsung,Google TV,Ultra HD (4K),50.0,2025,39990,1261,4.3
XIAOMI,FireTv OS,Ultra HD (4K),43.0,2025,24999,5753,4.3
Panasonic,Google TV,HD Ready,32.0,2023,14990,543,4.2
Foxsky,Google TV,Ultra HD (4K),50.0,2024,24999,1045,4.3
Foxsky,Google TV,HD Ready,32.0,2024,7499,1045,4.3
